N,Generations,Sigma,Population size,CMA CPU time,Fitness,Date
10,20,0.1,50,5.846198363,1178.77831061041,2024-09-17 23:53:45.611918
10,20,0.25,50,5.215265088,1116.68952130203,2024-09-17 23:51:38.864498
10,20,0.5,50,5.343501388,1141.05411976122,2024-09-17 23:53:57.065672
10,20,1,50,5.249568061,1127.10257343326,2024-09-17 23:53:57.435125
10,20,0.1,100,8.5120055,1190.48258421899,2024-09-17 23:54:13.131531
10,20,0.25,100,10.282787102,1136.54366745813,2024-09-18 18:17:30.149665
10,20,0.5,100,7.848535931,1130.32561390121,2024-09-17 23:54:28.158614
10,20,1,100,7.473665079,1090.63688972308,2024-09-17 23:54:28.070998
10,20,0.25,150,10.815582918,1153.11623265533,2024-09-17 23:52:36.485291
10,20,0.5,150,11.615682224,1100.41744992248,2024-09-17 23:55:01.391904
10,20,0.1,200,14.134484597,1145.78842423629,2024-09-17 23:55:19.336390
10,20,0.25,200,14.239993816,1117.51746366948,2024-09-17 23:55:19.513095
10,20,0.5,200,14.492638658,1116.25743910714,2024-09-17 23:55:38.068251
10,20,0.1,150,11.237127226,1128.87129782272,2024-09-17 23:54:45.365008
10,20,1,150,11.362965067,1121.28361463576,2024-09-17 23:55:00.757433
10,20,1,200,14.205244982,1098.72268288108,2024-09-17 23:55:37.618043
20,20,0.1,50,16.406796938,2850.44694920911,2024-09-18 16:51:12.121144
20,20,0.25,50,17.10732042,2742.60993728426,2024-09-18 16:51:12.819129
20,20,0.5,50,17.790706064,2780.01006469297,2024-09-18 16:51:54.609900
20,20,1,50,16.664334021,2838.36470795381,2024-09-18 16:51:54.689369
20,20,0.1,100,32.090460909,2664.29520709545,2024-09-18 16:52:53.360874
20,20,0.25,100,29.468717827,2547.32687540942,2024-09-18 18:19:11.625616
20,20,0.5,100,31.202414296,2728.8098204008,2024-09-18 16:45:30.093608
20,20,1,100,30.253850981,2606.25740611257,2024-09-18 16:45:29.173854
20,20,0.1,150,46.467663067,2614.91311968794,2024-09-18 16:46:39.288433
20,20,0.25,150,45.661886966,2751.31116199308,2024-09-18 16:46:38.650535
20,20,1,150,42.398321164,2616.29775647207,2024-09-18 16:47:47.759297
20,20,0.5,150,44.594792972,2695.30015018643,2024-09-18 16:47:47.400635
20,20,0.25,200,60.341258348,2727.16442265541,2024-09-18 16:49:10.968688
20,20,0.1,200,61.578480635,2527.92004054289,2024-09-18 16:49:12.253435
20,20,0.5,200,57.685540262,2605.53539815783,2024-09-18 16:50:31.462898
20,20,1,200,56.228728047,2658.59045283688,2024-09-18 16:50:31.225050
30,20,0.1,50,38.171634712,4262.25599739341,2024-09-18 18:12:51.574301
30,20,0.25,50,35.68307562,4335.93053315746,2024-09-18 18:12:57.326621
30,20,1,50,31.416873884,4434.9220250762,2024-09-18 17:54:18.568592
30,20,0.5,50,36.422708019,4376.26636624845,2024-09-18 17:54:16.728639
30,20,0.25,100,58.459993308,4326.827931926,2024-09-18 18:25:18.249572
30,20,0.1,100,75.068217977,4243.45182353781,2024-09-18 17:56:44.670211
30,20,1,100,59.392515186,4327.83645949241,2024-09-18 17:58:58.008068
30,20,0.5,100,66.641930397,4288.65317126332,2024-09-18 17:58:54.762003
30,20,0.25,150,101.668857269,4317.16984961181,2024-09-18 18:01:48.760515
30,20,0.1,150,105.444914355,4190.13976678315,2024-09-18 18:01:49.615180
30,20,1,150,89.375087907,4319.39437334986,2024-09-18 18:04:28.430293
30,20,0.5,150,93.169414149,4429.12561144384,2024-09-18 18:04:30.022770
30,20,0.25,200,129.588473928,4340.05132364495,2024-09-18 18:07:46.045596
30,20,0.1,200,137.994507497,4219.45002178656,2024-09-18 18:07:56.540903
30,20,0.5,200,121.850749599,4182.50613233337,2024-09-18 18:10:56.850423
30,20,1,200,118.274160384,4320.3448054913,2024-09-18 18:11:04.088350
