N,Childs,Tournament size,Crossover prob,Mutation prob,Elite size,Generations,Population size,GA CPU time,Fitness,Date
10,100,5,0.3,0.3,5,20,50,5.505346066,1179.16886423428,2024-09-17 23:53:22.901946
10,100,10,0.3,0.3,5,20,50,5.627109214,1128.87129782272,2024-09-17 23:55:26.798995
10,100,5,0.3,0.3,10,20,50,5.281427022,1086.8790729739,2024-09-18 00:04:34.295900
10,100,10,0.3,0.3,10,20,50,5.45658987,1128.87129782272,2024-09-18 00:04:34.506624
10,100,20,0.3,0.3,10,20,50,5.528946303,1096.47060808576,2024-09-18 00:04:41.366151
10,100,30,0.3,0.3,10,20,50,5.976101877,1138.92203663827,2024-09-18 00:04:42.106991
10,100,5,0.3,0.3,20,20,50,5.356841103,1086.8790729739,2024-09-18 00:04:48.255836
10,100,10,0.3,0.3,20,20,50,5.54766456,1128.87129782272,2024-09-18 00:04:49.105760
10,100,20,0.3,0.3,20,20,50,5.280306141,1090.63688972308,2024-09-18 00:04:55.351384
10,100,30,0.3,0.3,20,20,50,5.880014419,1138.92203663827,2024-09-18 00:04:56.498245
10,100,5,0.3,0.3,30,20,50,5.538651532,1128.87129782272,2024-09-18 00:05:02.752958
10,100,10,0.3,0.3,30,20,50,5.53627787,1128.87129782272,2024-09-18 00:05:03.776647
10,100,20,0.3,0.3,30,20,50,5.331661386,1283.72030772075,2024-09-18 16:22:43.102509
10,100,30,0.3,0.3,30,20,50,5.535940852,1128.87129782272,2024-09-18 16:22:43.318477
10,100,5,0.3,0.3,5,20,100,5.244804506,1128.87129782272,2024-09-18 16:22:50.244468
10,100,10,0.3,0.3,5,20,100,5.298752627,1128.87129782272,2024-09-18 16:22:50.354369
10,100,20,0.3,0.3,5,20,100,3.395353812,1318.26678217036,2024-09-18 16:22:55.160667
10,100,30,0.3,0.3,5,20,100,5.170320732,1090.63688972308,2024-09-18 16:22:57.226624
10,100,5,0.3,0.3,10,20,100,5.310382509,1098.16537512716,2024-09-18 16:23:02.245264
10,100,10,0.3,0.3,10,20,100,5.608225479,1114.27651971485,2024-09-18 16:23:04.806970
10,100,20,0.3,0.3,10,20,100,3.38208989,1318.26678217036,2024-09-18 18:17:25.189243
10,100,30,0.3,0.3,10,20,100,5.206159092,1099.4415093726,2024-09-18 16:23:12.451145
10,100,5,0.3,0.3,20,20,100,5.379909638,1121.28361463576,2024-09-18 16:23:16.191156
10,100,10,0.3,0.3,20,20,100,5.298818757,1128.87129782272,2024-09-18 16:23:20.826971
10,100,20,0.3,0.3,20,20,100,3.668036677,1318.26678217036,2024-09-18 16:23:23.173613
10,100,30,0.3,0.3,20,20,100,5.03090637,1090.63688972308,2024-09-18 16:23:29.388908
10,100,5,0.3,0.3,30,20,100,5.132488978,1128.87129782272,2024-09-18 16:23:31.797983
10,100,10,0.3,0.3,30,20,100,5.384594998,1119.07755159778,2024-09-18 16:23:37.607164
10,100,20,0.3,0.3,30,20,100,3.566158221,1343.48313653594,2024-09-18 16:23:38.339650
10,100,30,0.3,0.3,30,20,100,5.507137645,1107.46956720718,2024-09-18 16:23:46.386607
10,100,5,0.3,0.3,5,20,150,5.379252671,1090.39131676771,2024-09-18 16:23:46.598299
10,100,10,0.3,0.3,5,20,150,5.04756789,1272.85789004345,2024-09-18 16:23:54.608347
10,100,20,0.3,0.3,5,20,150,5.131654383,1272.85789004345,2024-09-18 16:23:54.807025
10,100,30,0.3,0.3,5,20,150,5.225766235,1272.85789004345,2024-09-18 16:24:02.142328
10,100,5,0.3,0.3,10,20,150,5.518349526,1090.39131676771,2024-09-18 16:24:02.489026
